task_id,neg_entropy,confidence
319,-0.3250829733914482,3.7
500,-0.3250829733914482,3.8
94,-0.3250829733914482,3.8
1157,-0.3250829733914482,3.8
1082,-0.3250829733914482,3.65
470,-0.3250829733914482,3.55
87,-0.3250829733914482,3.9
484,-0.3250829733914482,3.85
695,-0.3250829733914482,3.5999999999999996
201,-0.3250829733914482,3.75
801,-0.3250829733914482,3.9
554,-0.41274269846481804,3.6
772,-0.41274269846481804,3.95
141,-0.41274269846481804,3.9
11,-0.41274269846481804,3.8499999999999996
18,-0.41274269846481804,3.6
918,-0.41274269846481804,3.65
255,-0.41274269846481804,3.75
853,-0.41274269846481804,3.55
279,-0.41274269846481804,3.7
83,-0.41274269846481804,3.75
434,-0.46797363772317085,3.9000000000000004
2904,-0.46797363772317085,3.55
336,-0.46797363772317085,3.55
718,-0.46797363772317085,3.55
190,-0.46797363772317085,3.9
823,-0.46797363772317085,3.6
54,-0.46797363772317085,3.8
55,-0.46797363772317085,3.7
59,-0.46797363772317085,3.7
3077,-0.46797363772317085,3.55
3040,-0.46797363772317085,3.8499999999999996
462,-0.49904732020035236,3.8
464,-0.49904732020035236,3.8
75,-0.49904732020035236,3.55
491,-0.49904732020035236,3.65
497,-0.5004024235381879,3.55
41,-0.5004024235381879,4.05
539,-0.5004024235381879,3.75
505,-0.5004024235381879,3.5999999999999996
548,-0.5004024235381879,3.85
3153,-0.5004024235381879,3.8499999999999996
1050,-0.5004024235381879,3.6
757,-0.5004024235381879,3.85
19,-0.5004024235381879,3.8499999999999996
14,-0.5004024235381879,3.55
911,-0.5004024235381879,3.7
433,-0.5004024235381879,4.05
6,-0.5004024235381879,3.9
322,-0.5004024235381879,3.6500000000000004
351,-0.5004024235381879,3.9499999999999997
307,-0.5004024235381879,3.6
91,-0.5004024235381879,3.55
3018,-0.5004024235381879,3.75
20,-0.5091150769756967,3.65
26,-0.5556333627965406,3.75
377,-0.5556333627965406,3.65
504,-0.5556333627965406,3.6999999999999997
39,-0.5556333627965406,3.7
518,-0.5556333627965406,3.85
687,-0.5556333627965406,3.55
65,-0.5556333627965406,3.75
2863,-0.5556333627965406,3.8
244,-0.5556333627965406,3.7
211,-0.5556333627965406,3.75
375,-0.5556333627965406,3.5999999999999996
286,-0.5556333627965406,4.0
753,-0.5867070452737222,3.5999999999999996
138,-0.5867070452737222,4.0
1223,-0.5867070452737222,3.55
57,-0.5967748020490666,3.6
2930,-0.6108643020548935,3.7
291,-0.6108643020548935,3.55
24,-0.6108643020548935,3.55
943,-0.6108643020548935,3.7
294,-0.6108643020548935,3.7
313,-0.6108643020548935,3.55
67,-0.6108643020548935,3.75
1063,-0.6108643020548935,3.5999999999999996
135,-0.6108643020548935,3.8
3319,-0.641937984532075,3.55
808,-0.641937984532075,3.7
34,-0.641937984532075,3.8
49,-0.641937984532075,3.6
257,-0.641937984532075,3.75
338,-0.641937984532075,3.7
1833,-0.6520057413074194,3.9
56,-0.6730116670092565,3.7
1935,-0.6730116670092565,3.65
395,-0.6730116670092565,3.95
440,-0.6730116670092565,3.5999999999999996
468,-0.6730116670092565,3.75
559,-0.6730116670092565,3.65
730,-0.6730116670092565,3.7
345,-0.683079423784601,3.5999999999999996
391,-0.683079423784601,3.55
331,-0.683079423784601,3.7
931,-0.683079423784601,3.9
811,-0.683079423784601,3.5999999999999996
273,-0.6931471805599453,3.55
